,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-11-19 15:50:22,2024-11-19 15:50:10,3050.0,78.0,4868.0,319.0,1900.0,751.0,8803.0,23612.0,2024-11-19 15:50:22,@react-navigation/drawer@7.0.6,100.0,Routing and navigation for your React Native apps.,1063218.0,1063218.0,304.0,https://www.npmjs.com/package/@react-navigation/native,5218516.0,5218516.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-11-18 12:07:05,2024-11-18 12:07:05,1608.0,21.0,4606.0,220.0,1260.0,58.0,3662.0,15158.0,2024-11-10 13:08:18,1.20.0,100.0,React Native Mapview component for iOS + Android.,186854.0,186854.0,507.0,https://www.npmjs.com/package/react-native-maps,1141043.0,1141043.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-11-21 17:21:01,2024-11-21 17:00:42,24454.0,1364.0,5497.0,303.0,17048.0,437.0,14515.0,34564.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1050666.0,1050666.0,1517.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-11-09 22:45:49,2024-09-15 18:05:08,632.0,5.0,2081.0,203.0,410.0,133.0,1122.0,17455.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,636072.0,636072.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2501416.0,2501416.0,41,True,1,MIT,,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-11-01 11:07:16,2024-11-01 11:06:56,829.0,10.0,1724.0,228.0,424.0,40.0,820.0,16756.0,2024-11-01 11:10:24,7.1.0,42.0,Lottie wrapper for React Native.,120496.0,120496.0,152.0,https://www.npmjs.com/package/lottie-react-native,1653040.0,1653040.0,40,True,1,Apache-2.0,,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-11-19 18:53:07,2024-10-01 19:05:31,1472.0,42.0,3324.0,192.0,889.0,183.0,1478.0,13558.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,30042.0,30042.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,183567.0,183567.0,40,True,1,MIT,17.0,-1.0
6,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,,2068.0,121.0,1918.0,259.0,2268.0,12988.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,219548.0,219548.0,330.0,https://www.npmjs.com/package/react-native-paper,1165686.0,1165686.0,39,True,1,MIT,,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-11-21 16:58:01,2024-11-21 16:45:14,8627.0,63.0,511.0,122.0,980.0,84.0,1794.0,11024.0,2024-11-12 13:27:19,37.3.2,100.0,A collection of composable React components for building interactive data visualizations.,25995.0,25995.0,245.0,https://www.npmjs.com/package/victory-native,528063.0,528063.0,39,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-11-21 15:00:48,2024-11-21 15:00:45,4382.0,114.0,699.0,322.0,2568.0,77.0,597.0,6573.0,2024-11-06 12:18:53,7.34.0,100.0,UI Components Library for React Native.,4413.0,4413.0,156.0,https://www.npmjs.com/package/react-native-ui-lib,225679.0,225679.0,37,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4575.0,371.0,1646.0,131.0,2003.0,25082.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,511135.0,511135.0,32,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-05-27 09:01:36,2023-08-04 14:18:44,6324.0,,2319.0,269.0,2262.0,276.0,3162.0,20220.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,300.0,https://www.npmjs.com/package/native-base,286037.0,286037.0,31,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-11-15 02:02:32,2024-11-14 23:26:23,2677.0,80.0,1392.0,238.0,1229.0,32.0,1363.0,17730.0,2024-10-30 21:52:52,10.0.4,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!..",3.0,3.0,229.0,,,,30,True,3,MIT,,
12,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-07-03 09:35:54,2024-01-05 12:22:19,842.0,,935.0,127.0,579.0,164.0,1026.0,10346.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11219.0,11219.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,1168.0,1168.0,29,True,3,MIT,,
13,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-10-21 11:48:01,2024-10-21 11:47:24,1337.0,13.0,438.0,90.0,539.0,103.0,216.0,4910.0,2024-07-09 08:58:59,7.0.2,85.0,Customizable set of components for React Native applications.,1445.0,1445.0,56.0,https://www.npmjs.com/package/@shoutem/ui,6544.0,6544.0,29,True,3,,41.0,
14,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2024-08-21 01:06:53,2020-04-14 18:49:24,386.0,,395.0,15.0,156.0,186.0,275.0,2358.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,8047.0,8047.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,194213.0,194213.0,29,True,1,MIT,,
15,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-04-17 13:58:08,2022-02-08 04:03:57,336.0,,631.0,14.0,183.0,398.0,157.0,2874.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",22464.0,22464.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,256251.0,256251.0,28,True,2,MIT,,
