,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-10-31 11:17:46,2024-10-29 12:54:18,3014.0,68.0,4854.0,318.0,1886.0,738.0,8775.0,23560.0,2024-07-25 16:17:39,@react-navigation/native-stack@6.11.0,100.0,Routing and navigation for your React Native apps.,1046491.0,1046491.0,299.0,https://www.npmjs.com/package/@react-navigation/native,5081784.0,5081784.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-10-28 18:02:22,2024-10-15 12:37:11,1595.0,10.0,4606.0,219.0,1255.0,64.0,3642.0,15134.0,2024-10-14 20:01:34,1.18.2,100.0,React Native Mapview component for iOS + Android.,185279.0,185279.0,505.0,https://www.npmjs.com/package/react-native-maps,1157154.0,1157154.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-10-31 17:50:44,2024-10-31 17:49:36,24018.0,1099.0,5380.0,300.0,16690.0,424.0,14251.0,33945.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1033123.0,1033123.0,1496.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-10-25 22:16:40,2024-09-15 18:05:08,632.0,5.0,2076.0,203.0,410.0,130.0,1122.0,17433.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,630117.0,630117.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2492024.0,2492024.0,41,True,1,MIT,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-10-01 19:12:38,2024-10-01 19:05:31,1472.0,62.0,3325.0,192.0,887.0,180.0,1477.0,13520.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,29801.0,29801.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,185911.0,185911.0,41,True,1,MIT,17.0,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-10-30 23:06:43,2024-10-30 23:06:41,828.0,10.0,1720.0,228.0,423.0,36.0,819.0,16722.0,2024-09-15 20:16:25,7.0.0,41.0,Lottie wrapper for React Native.,119776.0,119776.0,152.0,https://www.npmjs.com/package/lottie-react-native,1641019.0,1641019.0,40,True,1,Apache-2.0,,1.0
6,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,,2062.0,121.0,1912.0,247.0,2266.0,12903.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,216490.0,216490.0,330.0,https://www.npmjs.com/package/react-native-paper,1137593.0,1137593.0,40,True,1,MIT,,-1.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-10-31 13:33:27,2024-10-30 18:44:09,8588.0,28.0,512.0,121.0,940.0,84.0,1790.0,11011.0,2024-10-24 19:45:36,37.3.0,100.0,A collection of composable React components for building interactive data visualizations.,25752.0,25752.0,241.0,https://www.npmjs.com/package/victory-native,516391.0,516391.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-10-31 15:19:30,2024-10-30 12:15:58,4344.0,96.0,697.0,322.0,2511.0,73.0,597.0,6533.0,2024-10-30 11:32:10,7.33.0,100.0,UI Components Library for React Native.,4373.0,4373.0,155.0,https://www.npmjs.com/package/react-native-ui-lib,242518.0,242518.0,37,True,2,MIT,,1.0
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4570.0,371.0,1646.0,124.0,2003.0,25046.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,517109.0,517109.0,32,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-05-27 09:01:36,2023-08-04 14:18:44,6324.0,,2315.0,269.0,2262.0,276.0,3161.0,20197.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,300.0,https://www.npmjs.com/package/native-base,294211.0,294211.0,31,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-10-30 21:52:49,2024-10-30 21:52:47,2673.0,97.0,1384.0,239.0,1221.0,35.0,1353.0,17634.0,2024-10-30 21:52:52,10.0.4,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",3.0,3.0,227.0,,,,30,True,3,MIT,,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2024-08-21 01:06:53,2020-04-14 18:49:24,386.0,,396.0,15.0,156.0,186.0,275.0,2357.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,7995.0,7995.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,199073.0,199073.0,30,True,1,MIT,,
13,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-10-21 11:48:01,2024-10-21 11:47:24,1337.0,13.0,435.0,91.0,539.0,103.0,216.0,4907.0,2024-07-09 08:58:59,7.0.2,85.0,Customizable set of components for React Native applications.,1443.0,1443.0,56.0,https://www.npmjs.com/package/@shoutem/ui,7894.0,7894.0,29,True,3,,41.0,-1.0
14,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-07-03 09:35:54,2024-01-05 12:22:19,842.0,,931.0,126.0,578.0,163.0,1025.0,10323.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11218.0,11218.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,1016.0,1016.0,28,True,3,MIT,,
15,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-04-17 13:58:08,2022-02-08 04:03:57,336.0,,629.0,14.0,183.0,397.0,157.0,2859.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",21819.0,21819.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,265524.0,265524.0,28,True,2,MIT,,
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,551.0,101.0,163.0,151.0,156.0,4834.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1580.0,1580.0,76.0,https://www.npmjs.com/package/react-native-material-kit,1361.0,1361.0,27,True,3,MIT,,
17,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2024-04-11 00:59:00,2024-02-05 04:47:54,341.0,,608.0,52.0,125.0,202.0,678.0,2442.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1633.0,1633.0,58.0,https://www.npmjs.com/package/react-native-charts-wrapper,42166.0,42166.0,26,True,2,,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,582.0,87.0,205.0,172.0,146.0,3784.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,3010.0,3010.0,71.0,https://www.npmjs.com/package/react-native-material-ui,2557.0,2557.0,25,False,3,MIT,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419.0,,320.0,54.0,131.0,48.0,86.0,3134.0,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",3026.0,3026.0,37.0,https://www.npmjs.com/package/galio,,,23,True,3,MIT,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144.0,,463.0,70.0,29.0,188.0,246.0,2945.0,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",741.0,741.0,13.0,https://www.npmjs.com/package/teaset,255.0,255.0,23,True,3,MIT,,
21,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,2022-04-29 12:40:18,2024-08-05 03:57:14,2024-03-21 14:15:34,87.0,,113.0,15.0,44.0,29.0,41.0,2063.0,2024-03-12 12:21:35,1.1.0,6.0,"Beautiful, high-performance Graphs and Charts for React Native built with Skia.",246.0,246.0,13.0,https://www.npmjs.com/package/react-native-graph,19530.0,19530.0,23,True,2,MIT,,
22,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128.0,,247.0,35.0,74.0,72.0,87.0,879.0,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,683.0,683.0,27.0,https://www.npmjs.com/package/react-native-pathjs-charts,239.0,239.0,22,False,3,Apache-2.0,,
23,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,2023-01-09 06:12:24,2024-10-25 15:47:40,2024-10-25 15:47:35,160.0,29.0,25.0,19.0,100.0,27.0,70.0,756.0,2024-10-15 08:32:13,2.0.0,17.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",,,14.0,https://www.npmjs.com/package/@wuba/react-native-echarts,28213.0,28213.0,21,True,3,Apache-2.0,,
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58.0,,117.0,34.0,14.0,13.0,34.0,2070.0,,,,Nachos UI is a React Native component library.,346.0,346.0,10.0,https://www.npmjs.com/package/nachos-ui,139.0,139.0,18,False,3,MIT,,
