,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-11-06 17:07:53,2024-11-06 17:07:45,3024.0,55.0,4858.0,319.0,1890.0,743.0,8779.0,23573.0,2024-11-06 16:44:41,@react-navigation/native-stack@7.0.0,100.0,Routing and navigation for your React Native apps.,1051570.0,1051570.0,299.0,https://www.npmjs.com/package/@react-navigation/native,5024846.0,5024846.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-10-28 18:02:22,2024-10-15 12:37:11,1595.0,10.0,4606.0,220.0,1255.0,64.0,3644.0,15139.0,2024-10-14 20:01:34,1.18.2,100.0,React Native Mapview component for iOS + Android.,185778.0,185778.0,505.0,https://www.npmjs.com/package/react-native-maps,1139733.0,1139733.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-11-07 17:54:15,2024-11-07 17:16:43,24167.0,1175.0,5408.0,300.0,16811.0,420.0,14317.0,34110.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1038591.0,1038591.0,1499.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-10-25 22:16:40,2024-09-15 18:05:08,632.0,5.0,2076.0,203.0,410.0,131.0,1122.0,17438.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,631888.0,631888.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2457200.0,2457200.0,41,True,1,MIT,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-10-01 19:12:38,2024-10-01 19:05:31,1472.0,62.0,3323.0,192.0,887.0,182.0,1477.0,13532.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,29876.0,29876.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,185128.0,185128.0,41,True,1,MIT,17.0,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-11-01 11:07:16,2024-11-01 11:06:56,829.0,10.0,1720.0,228.0,423.0,36.0,820.0,16726.0,2024-11-01 11:10:24,7.1.0,42.0,Lottie wrapper for React Native.,120007.0,120007.0,152.0,https://www.npmjs.com/package/lottie-react-native,1635053.0,1635053.0,40,True,1,Apache-2.0,,
6,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,,2062.0,121.0,1915.0,249.0,2267.0,12931.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,217470.0,217470.0,330.0,https://www.npmjs.com/package/react-native-paper,1129120.0,1129120.0,39,True,1,MIT,,-1.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-11-07 15:42:49,2024-11-07 15:41:39,8599.0,39.0,511.0,122.0,951.0,83.0,1794.0,11020.0,2024-11-04 21:02:01,37.3.1,100.0,A collection of composable React components for building interactive data visualizations.,25832.0,25832.0,242.0,https://www.npmjs.com/package/victory-native,522862.0,522862.0,38,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-11-07 16:17:32,2024-11-07 16:17:31,4357.0,103.0,697.0,322.0,2541.0,74.0,597.0,6545.0,2024-11-06 12:18:53,7.34.0,100.0,UI Components Library for React Native.,4383.0,4383.0,156.0,https://www.npmjs.com/package/react-native-ui-lib,234577.0,234577.0,37,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4573.0,371.0,1646.0,126.0,2003.0,25051.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,505856.0,505856.0,32,True,2,MIT,,
